Date,Average Price
Month/Year,in US Dollars
Jan 2006,548.1404
Feb 2006,554.2743478
Mar 2006,555.3573077
Apr 2006,609.2190909
May 2006,673.8003704
Jun 2006,595.7324
Jul 2006,631.9076923
Aug 2006,629.7396296
Sep 2006,599.2576
Oct 2006,584.9570833
Nov 2006,625.9192308
Dec 2006,628.3808333
Average 2006,603.0571655
Jan 2007,628.2828
Feb 2007,664.2295833
Mar 2007,654.2734615
Apr 2007,678.6968182
May 2007,667.4284615
Jun 2007,654.3766667
Jul 2007,664.3623077
Aug 2007,664.4985185
Sep 2007,709.0408
Oct 2007,753.9519231
Nov 2007,805.6242308
Dec 2007,802.0504167
Average 2007,695.567999
Jan 2008,883.2168
Feb 2008,920.2936
Mar 2008,964.3986957
Apr 2008,910.3616
May 2008,887.8603704
Jun 2008,887.7728
Jul 2008,939.4948148
Aug 2008,834.8632
Sep 2008,821.0272
Oct 2008,807.6392593
Nov 2008,753.3944
Dec 2008,816.115
Average 2008,868.8698117
Jan 2009,856.374
Feb 2009,934.4552381
Mar 2009,922.0614286
Apr 2009,887.7847368
May 2009,924.3554545
Jun 2009,942.7519048
Jul 2009,929.9434783
Aug 2009,945.7671429
Sep 2009,991.8709524
Oct 2009,1039.72087
Nov 2009,1121.422381
Dec 2009,1130.179048
Average 2009,968.8905529
Jan 2010,1116.997895
Feb 2010,1093.091429
Mar 2010,1110.825
Apr 2010,1144.2
May 2010,1199.433333
Jun 2010,1229.671429
Jul 2010,1192.386364
Aug 2010,1210.738182
Sep 2010,1265.099048
Oct 2010,1338.891429
Nov 2010,1366.552727
Dec 2010,1389.525714
Average 2010,1221.451046
Jan 2011,1360.636316
Feb 2011,1367.5315
Mar 2011,1417.43
Apr 2011,1470.683889
May 2011,1510.328182
Jun 2011,1524.748571
Jul 2011,1564.927143
Aug 2011,1755.110435
Sep 2011,1775.912727
Oct 2011,1660.042
Nov 2011,1734.293636
Dec 2011,1646.671
Average 2011,1565.69295
Jan 2012,1647.4185
Feb 2012,1740.488095
Mar 2012,1672.181818
Apr 2012,1647.380556
May 2012,1586.114783
Jun 2012,1592.918571
Jul 2012,1588.647727
Aug 2012,1623.557391
Sep 2012,1737.5895
Oct 2012,1741.379091
Nov 2012,1719.598636
Dec 2012,1683.552632
Average 2012,1665.068942
Jan 2013,1668.834762
Feb 2013,1627.591
Mar 2013,1589.8995
Apr 2013,1483.798
May 2013,1415.45
Jun 2013,1335.8695
Jul 2013,1282.097826
Aug 2013,1346.954348
Sep 2013,1348.495238
Oct 2013,1311.051304
Nov 2013,1272.846818
Dec 2013,1221.196
Average 2013,1408.673691
Jan 2014,1238.755238
Feb 2014,1293.863
Mar 2014,1333.0905
Apr 2014,1295.176842
May 2014,1285.973636
Jun 2014,1275.398
Jul 2014,1308.402609
Aug 2014,1290.832727
Sep 2014,1238.254286
Oct 2014,1219.830435
Nov 2014,1170.534286
Dec 2014,1194.953333
Average 2014,1262.088741
Jan 2015,1244.598095
Feb 2015,1226.48619
Mar 2015,1175.008095
Apr 2015,1195.525789
May 2015,1193.265
Jun 2015,1178.388095
Jul 2015,1127.38913
Aug 2015,1113.267143
Sep 2015,1120.324286
Oct 2015,1152.250455
Nov 2015,1085.305238
Dec 2015,1064.723333
Average 2016,1156.377571
